hu_cue,hu_target,hu_fake_target,hu_fake_cue,en_cue,en_target
emberrabló,váltságdíj,váltságdui,emberrpuló,kidnapper,ransom
emlékmű,szobor,szobas,emlégsű,monument,statue
énekes,zenész,zehúsz,énrges,singer,musician
engedély,jóváhagyás,jóvártgyás,enződély,permission,approval
engedélyezze,biztosítani,baztosituni,engedélyezto,enable,provide
építkezés,épít,cuít,épzakezés,construction,build
éppen,mostanában,mostniában,éplon,just,recently
eredeti,másolat,másomot,ráedeti,original,copy
következmény,eredmény,eredméai,eredméai,result,outcome
érkezés,indulás,indugts,lekezés,arrival,departure
erő,kényszerítés,képaszerítés,ndő,strength,force
erő,energia,enerona,ndő,power,energy
erős,gyenge,gyenly,erag,strong,weak
érték,ár,af,hoték,value,price
értékes,fontos,centos,értémás,valuable,important
érzékelő,adó,gyó,érzékear,sensor,transmitter
esik,összeomlás,összammlás,esap,fall,collapse
esküszik,eskü,esmˇ,esküszet,swear,oath
eső,hó,ku,ltő,rain,snow
ésszerűtlen,felelőtlen,felelőbeen,ésszereklen,unreasonable,irresponsible
eszköz,hangszer,haekszer,eszkód,tool,instrument
étel,étkezés,békizus,röel,food,meal
évforduló,születésnap,születésszp,évszarelő,anniversary,birthday
evolúció,mutáció,ártáció,evolakió,evolution,mutation
ezer,száz,szrű,faszer,thousand,hundred
ezred,zászlóalj,zásztsalj,gired,regiment,battalion
fahéj,vanília,vakslia,fataj,cinnamon,vanilla
fájl,dokumentum,doznmentum,fábő,file,document
fal,kerítés,kendtés,vil,wall,fence
falatozás,ebéd,scéd,falaruzás,snack,lunch
fáradt,éhes,stes,húradt,tired,hungry
fázis,időszak,idősdek,fános,phase,period
fehér,fekete,fekemé,fedör,white,black
fehérje,vitamin,vitaenn,fehétre,protein,vitamin
fél,negyed,nerjed,dál,half,quarter
feladat,küldetés,küiketés,felatát,task,mission
felelősség,kötelesség,közölesség,felemosség,responsibility,duty
felhő,köd,muz,feönő,cloud,fog
felnőtt,szülő,szakő,feerőtt,adult,parent
felség,fenség,fejnég,felsök,majesty,highness
felső,alsó,alír,ferző,top,bottom
superman,batman,szuperkau,bizmón,superman,batman
felszerelés,felszerel,felszemal,felszereins,equipment,equip
felület,állomás,állokes,felütát,platform,station
féreg,kígyó,kuade,ldreg,worm,snake
férfi,emberi,embeos,fésci,man,human
férfi,női,iti,fésci,male,female
férj,feleség,feletag,fésú,husband,wife
festék,rajzol,rantol,festoh,paint,draw
fészek,tojás,toxus,olszek,nest,egg
feszültség,depresszió,depresszkr,feszújtség,stress,depression
figyelem,üzenet,évenet,figyelfo,warning,message
figyelem,vonz,vojó,figyelfo,attention,attract
filmelőzetes,vád,zid,filmelgoetes,trailer,van
filozófia,vallás,vallrt,filozóóka,philosophy,religion
fiúk,lányok,lásnok,fiéi,boys,girls
fizika,matematika,matemailka,fireka,physics,mathematics
főiskola,egyetem,egyerém,főiskoid,college,university
fokhagyma,hagyma,haomma,fokhagáca,garlic,onion
fókusz,sűrítmény,körítmény,likusz,focus,concentrate
föld,repül,dopül,föók,land,fly
földrengés,robbanás,robbírás,földrengál,earthquake,explosion
folyamat,eljárás,elrorás,folyamel,process,procedure
folyékony,folyadék,folyóbék,folyadony,liquid,fluid
folyó,tó,áb,foodó,river,lake
folytassa,folytatni,foáztatni,folytatoa,proceed,continue
font,dollár,dollga,bünt,pound,dollar
fontolgat,gondol,gondsd,fontolnut,consider,think
fordulat,forog,kirog,fordltat,turn,rotate
csip,eszköz,eszkdy,csop,chip,device
forma,jel,zöl,fovta,form,sign
forrás,informátor,infollátor,forrtá,source,informant
forró,hideg,hizug,fotló,hot,cold
főváros,város,váyes,főisros,capital,city
frekvencia,jel,zöl,frekroncia,frequency,signal
friss,frissítés,friségtés,frlős,fresh,refresh
függő,végrehajtás,végrehgitás,fümlő,hanging,execution
fuss,séta,rota,sass,run,walk
füst,szivar,szivás,lest,smoke,cigar
gabona,liszt,jószt,galana,grain,flour
garancia,ígéret,ígüket,lorancia,guarantee,promise
gáz,üzemanyag,üzemekyag,vez,gas,fuel
gazda,munkás,munkén,lozda,farmer,worker
generátor,reaktor,reakzar,túnerátor,generator,reactor
gerinc-,hasi,rési,túrinc,spinal,abdominal
gesztus,törvény,hervény,túsztus,gesture,act
golf,tenisz,teorsz,goab,golf,tennis
gomb,nyomja meg,nyomjajjeg,gotú,button,press
gonosz,kegyetlenség,keszetlenség,gomész,evil,cruelty
gratulál,üdvözöl,üdvöhol,gapulál,congratulate,greet
szokás,gyakorlat,gyakátlat,gyakátlat,practice,exercise
gyár,termelés,termelye,tyér,factory,production
gyémánt,ékszer,kuszer,gyókánt,diamond,jewel
öldöklő,gyilkos,gyilles,gyilles,killer,murderer
gyomor,mellkas,mellsis,gyoszor,stomach,chest
győzelem,vereség,veszség,gyöppelem,victory,defeat
gyűjt,összegyűjt,összomyűjt,tyűnt,collect,gather
gyűlöl,szerelem,szerelfo,tyűköl,hate,love
gyűrű,nyaklánc,nyulpánc,tyűtyű,ring,necklace
háború,csata,csera,hábaré,war,battle
haditengerészeti,flotta,csotta,haditengerésanti,naval,fleet
hadműveleti,funkcionális,funkcityális,hadmzdeleti,operational,functional
haj,szakáll,szakral,daj,hair,beard
hajtás,lovagol,lovartl,tajtés,drive,ride
halál,eltűnés,elérnés,havül,death,disappearance
szörnyű,halálos,halámus,halánis,deadly,fatal
hálás,köszönet,köszlret,galás,grateful,thank
hallgat,hall,haöm,hallyet,listen,hear
hálózat,rendszer,randiror,hálóart,network,system
hamisítvány,hamis,hakés,hamisíutány,fake,FALSE
hamu,por,ver,haii,ash,dust
hang,hangsúly,hangrely,hain,voice,accent
harag,düh,nyarag,hayog,anger,rage
küzdelem,harc,hapj,hawa,combat,fight
harmadik,negyedik,negyújik,harmadju,third,fourth
hasmenés,hányinger,hányabger,hasmenké,diarrhea,nausea
hasonló,különböző,különbenő,hasoágó,similar,different
hasznos,hatékony,hamokony,haszzis,useful,effective
határozottan,erősen,eráten,határokontan,firmly,strongly
hatásos,elképesztő,elkéüssztő,hatáens,impressive,amazing
haver,tesó,tefa,halor,dude,bro
ház,lakás,lancs,usz,house,apartment
hazugság,hazug,haurg,hazuilág,lie,liar
magaslat,hegy,heol,tögy,hill,mountain
helló,viszlát,viszgét,rolló,hello,bye
hely,elhelyezkedés,elhelyezeddés,hege,place,location
helyettesít,helyettes,tölyettes,helyettekit,replace,substitute
helyzet,válság,váníág,tölyzet,situation,crisis
hercegnő,herceg,törceg,hercegcs,princess,prince
hétfő,kedd,kers,hépnő,monday,tuesday
hiábavaló,értéktelen,értépielen,lyábavaló,useless,worthless
tévedés,hiba,nsba,hika,error,mistake
híd,alagút,alagyv,hűd,bridge,tunnel
hirdető,marketing,markethag,hiepető,advertising,marketing
híres ember,csillag,csilong,hírevsember,celebrity,star
hirtelen,váratlanul,várambanul,higielen,suddenly,unexpectedly
kredit,hitel,hisal,drekit,credit,loan
hívás,telefon,telehin,hílős,call,telephone
hivatalosan,hivatalos,hivatanás,hivatalomhn,officially,official
hízeleg,lenyűgöz,lenyűgdy,gazeleg,flatter,impress
hő,hőfok,hőask,űn,heat,temperature
hobbi,sport,grort,hotai,hobby,sport
hold,nap,sep,hoók,moon,sun
hold-,nap-,sep,érld,lunar,solar
holnap,reggel,ressel,hogtap,tomorrow,morning
hónap,hét,urt,hólép,month,week
horgony,vitorla,vitouta,hozaony,anchor,sail
hormon,adrenalin,corenalin,hováon,hormone,adrenaline
hős,megmentő,megmsítő,rös,hero,savior
hozza,küld,küók,hokba,bring,send
húga,fiú testvér,ficetestvér,víga,sister,brother
hurrikán,tornádó,tornanó,hurrasán,hurricane,tornado
hűség,odaadás,odaanys,ebség,fidelity,devotion
hűség,őszinteség,őszintotég,ebség,loyalty,honesty
lojális,hűséges,bbséges,hűséros,loyal,faithful
hüvely,hímvessző,hírlessző,hüvene,vagina,penis
ideál,tökéletes,hekéletes,idoil,ideal,perfect
ideg,izom,jtom,saeg,nerve,muscle
idősebb,junior,árnior,saősebb,senior,junior
ifjúság,gyermekkor,gyermenőor,ohjúság,youth,childhood
igaz,igazi,ignci,igue,TRUE,real
igazságtalanság,tisztességtelen,tisztesskételen,igazsánaalanság,injustice,unfair
igény,kérés,kéass,huény,demand,request
ijedős,hátborzongató,hátborzoljató,ijedtn,scary,creepy
illegális,jogi,jona,illenilis,illegal,legal
illúzió,hallucináció,hallucinfóió,iliszió,illusion,hallucination
impulzus,nyomás,nyomrt,imputmus,pulse,pressure
incidens,baleset,baleust,intadens,incident,accident
indíték,alibi,algui,inerték,motive,alibi
influenza,betegség,bezugség,influeuga,flu,disease
ing,dzseki,dzselt,ösg,shirt,jacket
ingatlan,tulajdonos,tulajdalos,inzetlan,property,owner
inspirál,ihlet,tylet,inspagál,inspire,inspiration
internet,webes,wengs,integget,internet,web
invázió,támadás,támates,invásló,invasion,attack
ipar,üzleti,üzleül,vuar,industry,business
irányelv,politikus,polisakus,iránielb,policy,politician
irányítás,közigazgatási,közigaviatási,coányítás,management,administrative
iránytű,térkép,térkez,iránlhű,compass,map
irigy,mérges,méemes,imigy,jealous,angry
irónia,ironikus,ironiktó,irlvia,irony,ironic
isten,isteni,játeni,játen,god,divine
ital,sör,tur,adal,drink,beer
itt,ott,röt,utt,here,there
íz,szag,elag,íp,taste,smell
izgalmas,érdekes,érdencs,izetlmas,exciting,interesting
ízletes,finom,olnom,opletes,tasty,delicious
jármű,autó,októ,jánkű,vehicle,car
játék,"játszma, meccs","jatszme , fleccs",isték,play,game
ajánl,javasol,javaall,javaill,propose,suggest
javít,javítás,jaiótás,jaítt,fix,repair
jegy,útlevél,útlegal,jeol,ticket,passport
jelenlegi,elektromosság,elektromosabg,jelenlpli,current,electricity
jelenlét,hiány,tnány,jelegjét,presence,absence
jelenség,esemény,esrvény,jelensök,phenomenon,event
jelentés,fontosság,foárosság,kelemkés,meaning,importance
jelentés,tájékoztat,táekkoztat,kelemkés,report,inform
csekkol,ellenőriz,ellenőltz,csentol,check,verify
jelölt,szavazó,szavlsó,jebált,candidate,voter
jelvény,egyenruha,egyenrpva,jeskény,badge,uniform
jó,rossz,rontz,jű,good,bad
jobb,bal,iel,jokk,right,left
jóga,masszázs,massrúzs,pópa,yoga,massage
jogász,ügyész,ügansz,bogász,lawyer,prosecutor
joghatóság,hatóság,hatójag,joghetékség,jurisdiction,authority
jövő,múlt,vílt,jöhe,future,past
józan,részeg,adszeg,lazan,sober,drunk
június,július,júlink,júplus,june,july
jutalék,bizottság,bizoróság,jutanik,commission,committee
kábel,huzal,nszal,kával,cable,wire
kabin,fedélzet,fedélzés,kalén,cabin,deck
kaliber,golyó,goáró,kaenber,caliber,bullet
kalóz,tengerész,tengrtész,kafőz,pirate,sailor
kamera,mikrofon,mikraton,kaidra,camera,microphone
kampány,választás,vákésztás,kapaány,campaign,election
kanál,villa,viága,árnál,spoon,fork
kanapé,ágy,iry,kanaűs,sofa,bed
kancellár,elnök,elónk,kaazellár,chancellor,president
káosz,zavar,zabor,kámaz,chaos,confusion
kapacitás,képesség,kégasség,kapaektás,capacity,ability
kapcsolat,barátság,barádiág,kapcsomot,relationship,friendship
kapcsolatba lépni,kapcsolat,kapcsomot,kaponyatba képni,contact,connection
kapszula,szonda,szonok,kaúzzula,capsule,probe
karácsony,ünnep,ünháp,szalásony,christmas,holiday
karakter,személyiség,személttség,ograkter,character,personality
karcolás,zúzódás,nyzódás,kasáolás,scratch,bruise
kard,kés,ors,kalj,sword,knife
karnevál,fesztivál,fesztitöl,karnínál,carnival,festival
karrier,hírnév,hírnré,karrtár,career,reputation
katolikus,keresztény,kereszehny,katolilis,catholic,christian
katona,harcos,haapos,kaapna,soldier,warrior
kém,áruló,árztó,pem,spy,traitor
rágós,kemény,keteny,keteny,tough,hard
kémia,biológia,ázológia,kééka,chemistry,biology
kémiai,biológiai,afilógiau,gimiai,chemical,biological
kémkedés,szabotázs,szabelázs,kényedés,espionage,sabotage
kényelmes,kellemes,kellemrő,kényelgás,comfortable,pleasant
kényelmetlen,kellemetlen,keésemetlen,kényelmerhen,uncomfortable,unpleasant
kenyér,sajt,saró,kenyei,bread,cheese
kép,fénykép,fényamp,amp,picture,photo
képernyő,monitor,mokátor,képerntu,screen,monitor
galéria,kiállítás,kiáloltás,kapénia,gallery,exhibition
képtelenség,képtelen,kéadelen,kézbelenség,inability,unable
képzelet,kreativitás,krkotivitás,képzelvá,imagination,creativity
kérdés,kérdez,kérdai,kéülés,question,ask
kerek,körül,köáll,ketik,round,around
keresés,megtalálja,megtalálmo,kerejes,search,find
kereskedelmi,kereskedő,keredeedő,keresgetelni,commercial,merchant
keskeny,széles,szélje,kemzeny,narrow,wide
késő,korai,kosei,kérn,late,early
kész,készít,készöd,lasz,ready,prepare
készít,tegye,tenée,ászít,make,do
készítmény,tervezés,tervazbi,készélmény,preparation,planning
készpénz,pénz,pépd,készpéűt,cash,money
két,négy,néka,zat,two,four
ketchup,majonéz,matanéz,kerjhup,ketchup,mayonnaise
kétség,gyanúsított,gyandrított,képnér,doubt,suspect
kettős,hármas,hállas,ketthi,double,triple
kéz,kar,nir,úzz,hand,arm
kezel,sikerül,híkerül,kesal,manage,succeed
ki,valamiről,kaélomőr,ém,out,about
kijárat,bejárat,oljárat,kiskrat,exit,entrance
kilátás,perspektíva,persiktuna,kiestás,view,perspective
kiló,gramm,szamm,kieg,kilo,gram
kilométer,méter,neter,kibeméter,kilometer,meter
kín,kínzás,kínzrt,kón,torment,torture
kincs,jólét,rölét,kimás,treasure,wealth
kinyilatkoztatás,látomás,látoncs,kifasznógatés,revelation,vision
királyi,királyság,királybeg,kiránji,royal,kingdom
királynő,király,kiráge,kipálykő,queen,king
kis,kicsi,kivái,sis,little,small
kíséret,kísérő,kísésh,kisóget,escort,accompany
kísérlet,teszt,kiszt,kíségiet,experiment,test
kiváló,nagy,naol,kicsló,excellent,great
kiváltság,becsület,becsátet,kimeltság,privilege,honor
kivételes,figyelemre méltó,figyelemreháéltó,kivétekos,exceptional,remarkable
kívül,belül,benhl,kíkál,outside,inside
klán,család,csalgy,tkán,clan,family
klub,rúd,eud,klav,club,bar
kockázat,veszély,veszndy,koarázat,risk,danger
kockázatos,veszélyes,veszélros,kockázatár,risky,dangerous
kocsma,étterem,jeterem,kocsös,pub,restaurant
kód,jelszó,jedozó,rőd,code,password
köhögés,láz,etz,közigés,cough,fever
kokain,heroin,heziin,konkin,cocaine,heroin
kolléga,barát,baadt,kollhoa,colleague,friend
kolónia,szövetség,szövetjüg,kozinia,colony,federation
költő,író,átó,köévő,poet,writer
költségvetés,finanszírozás,finalizírozás,költséltetés,budget,funding
kombináció,keverék,kevezök,kombinfóió,combination,mixture
koncepció,meghatározás,meghatogozás,koncdíció,concept,definition
konferencia,találkozó,találkedó,koeterencia,conference,meeting
konfliktus,vita,lata,kokaliktus,conflict,dispute
konkrét,acél,gfél,konkket,concrete,steel
tépett,vágott,váyütt,dédekk,tear,cut
könyörületes,nagylelkű,nagymilkű,kanyerulitás,compassionate,generous
könyvtár,múzeum,múntum,költvtár,library,museum
konzervatív,liberális,libendlis,konzgóvatív,conservative,liberal
koporsó,temetés,temenys,kopoádó,coffin,funeral
kör,háromszög,háromslég,zőr,circle,triangle
kórház,klinika,klözika,kórhrű,hospital,clinic
kormányzó,szenátor,szujátor,kormánapó,governor,senator
környezet,légkör,légkic,környeont,environment,atmosphere
köröm,fog,veg,kökem,nail,tooth
korona,trón,trog,kozána,crown,throne
kosárlabda,futball,futbsol,kosárlabbí,basketball,football
kötődik,nyakkendő,nyulkendu,köardik,bind,tie
kövesse,üldözés,üldörgs,kövelje,follow,chase
következtetés,feltevés,feóvevés,következterhs,conclusion,assumption
közel,messze,nossze,kösal,near,far
közvetlen,közvetlenül,közvetlevál,körbetlen,direct,directly
krém,szósz,szköz,kros,cream,sauce
kritikai,politikai,polisakai,kepikai,critical,political
kulcs,zár,wir,kuncs,key,lock
extra,további,továoni,desztra,extra,additional
különleges,egyedi,egyemr,külökteges,special,unique
kultúra,civilizáció,civilizásoó,kultita,culture,civilization
kürt,síp,lup,lert,horn,whistle
kutatás,tanulmány,tadalmány,nétatás,research,study
kutya,macska,manika,kudta,dog,cat
lámpa,gyertya,gyercea,láila,lamp,candle
lánc,kötél,hatél,lálo,chain,rope
lány,fiú,eru,lálk,girl,boy
lánya,fia,orú,lásza,daughter,son
lasagna,spagetti,spagukti,lasazra,lasagna,spaghetti
lassan,gyorsan,gyzásan,ressan,slowly,quickly
lassú,gyors,gybás,laamú,slow,fast
lát,találkozik,talinyuzak,gét,see,meet
le,fel,zél,tö,down,up
legénység,hajó,haks,legényemg,crew,ship
légió,hadsereg,hagvereg,lénzó,legion,army
lehetetlen,könnyen,könntan,leheteneen,impossible,easy
lehetővé teszi,enged,ennil,lehetővégmeszi,allow,let
lehetséges,tehetség,tehetsök,gepetséles,potential,talent
leír,kifejez,kimenej,letű,describe,express
lélek,szellem,szelzom,melek,soul,spirit
lelkesedés,szenvedély,szenvedége,lelküledés,enthusiasm,passion
lemondás,elbocsátás,elfucsátás,lemondrt,resignation,dismissal
leszállás,repülési,repüzási,leszálnis,landing,flight
leszbikus,meleg,léleg,leszbiggs,lesbian,gay
levegő,oxigén,oxigzt,levejj,air,oxygen
levél,fax,auk,lerál,mail,fax
leves,saláta,sacsta,leiós,soup,salad
liba,kacsa,kakta,lita,goose,duck
liga,csapat,csogat,kuga,league,team
limonádé,szóda,szeza,limonáéi,lemonade,soda
lop,rabol,rajul,amp,steal,rob
lopás,rablás,reblis,gapás,theft,robbery
lord,hölgy,hozzi,loty,lord,lady
lovasság,tüzérségi,tüjerségi,lomisság,cavalry,artillery
lövés,lő,éd,lölős,shot,shoot
ma,tegnap,tekrap,am,today,yesterday
maffia,kartell,kartnal,maffet,mafia,cartel
magán,magánélet,magábalet,mapon,private,privacy
mágneses,elektromos,elektrelos,megneies,magnetic,electric
magyarázat,valószínű,valózsene,marvarázat,explanation,plausible
majom,gorilla,ndrilla,pajop,monkey,gorilla
makacs,önző,önbi,dékacs,stubborn,selfish
már,még mindig,mug mendag,zör,already,still
támasz,marad,makod,makod,stay,remain
maraton,verseny,verscky,maralan,marathon,race
márka,termék,tetsék,vérka,brand,product
